country_code;region_name;iata;icao;airport;latitude;longitude
CN;Nei Mongol;AEQ;;Ar Horqin Airport;43,87040;120,16000
CN;Nei Mongol;AXF;;Alxa Left Banner Bayanhot Airport;38,74830;105,58900
CN;Nei Mongol;BAV;ZBOW;Baotou Airport;40,56000;109,99700
CN;Nei Mongol;CIF;ZBCF;Chifeng Yulong Airport;42,23500;118,90800
CN;Nei Mongol;DSN;ZBDS;Ordos Ejin Horo Airport;39,49000;109,86100
CN;Nei Mongol;EJN;;Ejin Banner Taolai Airport;42,01550;101,00100
CN;Nei Mongol;ERL;ZBER;Erenhot Saiwusu International Airport;43,42250;112,09700
CN;Nei Mongol;HET;ZBHH;Hohhot Baita International Airport;40,85140;111,82400
CN;Nei Mongol;HLD;ZBLA;Hulunbuir Hailar Airport;49,20500;119,82500
CN;Nei Mongol;HLH;ZBUL;Ulanhot Airport;46,19530;122,00800
CN;Nei Mongol;HUO;ZBHZ;Holingol Huolinhe Airport;45,48720;119,40700
CN;Nei Mongol;NZH;ZBMZ;Manzhouli Xijiao Airport;49,56670;117,33000
CN;Nei Mongol;NZL;;Zhalantun Chengjisihan Airport;47,86580;122,76800
CN;Nei Mongol;RHT;;Alxa Right Banner Badanjilin Airport;39,22500;101,54600
CN;Nei Mongol;RLK;ZBYZ;Bayannur Tianjitai Airport;40,92600;107,74300
CN;Nei Mongol;TGO;ZBTL;Tongliao Airport;43,55670;122,20000
CN;Nei Mongol;UCB;;Ulanqab Airport;41,12970;113,10800
CN;Nei Mongol;WUA;ZBUH;Wuhai Airport;39,79340;106,79900
CN;Nei Mongol;WZQ;;Urad Middle Banner Airport;41,45960;108,53500
CN;Nei Mongol;XIL;ZBXH;Xilinhot Airport;43,91560;115,96400
CN;Nei Mongol;YIE;ZBES;Arxan Yi'ershi Airport;47,31060;119,91200
CN;Ningxia;GYU;ZLGY;Guyuan Liupanshan Airport;36,07890;106,21700
CN;Ningxia;INC;ZLIC;Yinchuan Hedong International Airport;38,32280;106,39300
CN;Ningxia;ZHY;ZLZW;Zhongwei Shapotou Airport (Zhongwei Xiangshan Airport);37,57310;105,15400
CN;Qinghai Sheng;HBQ;ZLHB;Haibei Qilian Airport;38,01200;100,64400
CN;Qinghai;GMQ;ZLGL;Golog Maqin Airport;34,41810;100,30100
CN;Qinghai;GOQ;ZLGM;Golmud Airport;36,40060;94,78610
CN;Qinghai;HTT;;Huatugou Airport;38,20200;90,84150
CN;Qinghai;HXD;ZLDL;Delingha Airport;37,12530;97,26870
CN;Qinghai;XNN;ZLXN;Xining Caojiabao Airport;36,52750;102,04300
CN;Qinghai;YUS;ZLYS;Yushu Batang Airport;32,83640;97,03640
CN;Shaanxi;AKA;ZLAK;Ankang Wulipu Airport;32,70810;108,93100
CN;Shaanxi;CIH;ZBCZ;Changzhi Wangcun Airport;36,24750;113,12600
CN;Shaanxi;DAT;ZBDT;Datong Yungang Airport;40,06030;113,48200
CN;Shaanxi;ENY;ZLYA;Yan'an Ershilipu Airport;36,63690;109,55400
CN;Shaanxi;HZG;ZLHZ;Hanzhong Chenggu Airport;33,13410;107,20600
CN;Shaanxi;LFQ;;Linfen Qiaoli Airport;36,13260;111,64100
