,Unnamed: 0,date,carrier,number,code_i,hora_i,code_f,hora_f,travel_time,inicial_hour,final_hour,coords_i,coords_f,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,hour25,hour26,hour27,hour28,hour29,hour30,hour31,hour32,hour33,hour34,hour35,hour36,hour37,hour38,hour39
12,12,2024-05-17 00:00:00,AA,749,MAD,2024-05-17 12:20:00+02:00,CLT,2024-05-17 15:20:00-04:00,10,12,22,"[40.4719, -3.56264]","[35.214, -80.9431]", , , , , , , , , , , , ,"[40.4719, -3.56264]","[39.94611, -11.300685999999999]","[39.42032, -19.038732]","[38.894529999999996, -26.776778]","[38.368739999999995, -34.514824]","[37.84295, -42.25287]","[37.31716, -49.990916]","[36.79137, -57.728962]","[36.26558, -65.46700799999999]","[35.73979, -73.205054]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , 
13,13,2024-05-17 00:00:00,AA,893,CLT,2024-05-17 07:50:00-04:00,CLT,2024-05-17 13:29:00-04:00,6,7,13,"[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , ,"[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , , 
14,14,2024-05-17 00:00:00,AA,795,AUS,2024-05-17 14:30:00-05:00,DFW,2024-05-17 15:43:00-05:00,2,14,16,"[30.1945, -97.6699]","[32.8968, -97.038]", , , , , , , , , , , , , , ,"[30.1945, -97.6699]","[31.545650000000002, -97.35395]","[32.8968, -97.038]", , , , , , , , , , , , , , , , , , , , , , , 
15,15,2024-05-17 00:00:00,AA,375,JAX,2024-05-17 07:15:00-04:00,LAX,2024-05-17 12:14:00-07:00,8,7,15,"[30.4941, -81.6879]","[33.9425, -118.408]", , , , , , , ,"[30.4941, -81.6879]","[30.92515, -86.2779125]","[31.3562, -90.867925]","[31.78725, -95.4579375]","[32.2183, -100.04795]","[32.64935, -104.6379625]","[33.080400000000004, -109.227975]","[33.51145, -113.8179875]","[33.9425, -118.408]", , , , , , , , , , , , , , , , , , , , , , , , 
16,16,2024-05-17 00:00:00,AA,443,CLT,2024-05-17 11:58:00-04:00,CLT,2024-05-17 16:47:00-04:00,5,11,16,"[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , , , , , ,"[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , 
17,17,2024-05-17 00:00:00,AA,121,DOH,2024-05-17 08:05:00+03:00,PHL,2024-05-17 15:30:00-04:00,15,8,23,"[25.2731, 51.6081]","[39.8719, -75.2411]", , , , , , , , ,"[25.2731, 51.6081]","[26.24635333333333, 43.15148666666667]","[27.219606666666667, 34.694873333333334]","[28.19286, 26.23826]","[29.166113333333332, 17.781646666666667]","[30.139366666666668, 9.32503333333333]","[31.11262, 0.8684200000000004]","[32.08587333333333, -7.588193333333329]","[33.059126666666664, -16.044806666666666]","[34.032379999999996, -24.501420000000003]","[35.005633333333336, -32.95803333333334]","[35.97888666666667, -41.41464666666666]","[36.95214, -49.87126]","[37.92539333333333, -58.327873333333336]","[38.898646666666664, -66.78448666666665]","[39.8719, -75.24109999999999]", , , , , , , , , , , , , , , , 
18,18,2024-05-17 00:00:00,AA,881,CLT,2024-05-17 07:39:00-04:00,CUN,2024-05-17 09:34:00-05:00,3,7,10,"[35.214, -80.9431]","[21.0365, -86.8771]", , , , , , , ,"[35.214, -80.9431]","[30.488166666666665, -82.9211]","[25.76233333333333, -84.8991]","[21.0365, -86.8771]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,19,2024-05-17 00:00:00,AA,477,MIA,2024-05-17 10:10:00-04:00,MIA,2024-05-17 15:25:00-04:00,6,10,16,"[25.7932, -80.2906]","[25.7932, -80.2906]", , , , , , , , , , ,"[25.7932, -80.2906]","[25.7932, -80.2906]","[25.7932, -80.2906]","[25.7932, -80.2906]","[25.7932, -80.2906]","[25.7932, -80.2906]","[25.7932, -80.2906]", , , , , , , , , , , , , , , , , , , , , , , 
20,20,2024-05-17 00:00:00,AA,326,PHL,2024-05-17 18:50:00-04:00,PIT,2024-05-17 20:19:00-04:00,2,18,20,"[39.8719, -75.2411]","[40.4915, -80.2329]", , , , , , , , , , , , , , , , , , ,"[39.8719, -75.2411]","[40.1817, -77.737]","[40.4915, -80.2329]", , , , , , , , , , , , , , , , , , , 
21,21,2024-05-17 00:00:00,AA,337,PHX,2024-05-17 10:25:00-07:00,PHX,2024-05-17 14:25:00-07:00,5,10,15,"[33.4343, -112.012]","[33.4343, -112.012]", , , , , , , , , , ,"[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]", , , , , , , , , , , , , , , , , , , , , , , , 
22,22,2024-05-17 00:00:00,AA,970,ELP,2024-05-17 06:00:00-06:00,PHX,2024-05-17 06:20:00-07:00,2,6,8,"[31.8072, -106.378]","[33.4343, -112.012]", , , , , , ,"[31.8072, -106.378]","[32.62075, -109.195]","[33.4343, -112.012]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,23,2024-05-17 00:00:00,AA,247,LAX,2024-05-17 09:53:00-07:00,KOA,2024-05-17 12:30:00-10:00,6,9,15,"[33.9425, -118.408]","[19.7388, -156.046]", , , , , , , , , ,"[33.9425, -118.408]","[31.57521666666667, -124.681]","[29.207933333333337, -130.954]","[26.840650000000004, -137.227]","[24.47336666666667, -143.5]","[22.106083333333338, -149.773]","[19.7388, -156.046]", , , , , , , , , , , , , , , , , , , , , , , , 
24,24,2024-05-17 00:00:00,AA,511,MCO,2024-05-17 07:06:00-04:00,DCA,2024-05-17 09:25:00-04:00,3,7,10,"[28.4294, -81.309]","[38.8522, -77.0378]", , , , , , , ,"[28.4294, -81.309]","[31.90366666666667, -79.88526666666667]","[35.37793333333334, -78.46153333333334]","[38.8522, -77.0378]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,25,2024-05-17 00:00:00,AA,432,PHX,2024-05-17 10:35:00-07:00,OGG,2024-05-17 14:03:00-10:00,7,10,17,"[33.4343, -112.012]","[20.8986, -156.43]", , , , , , , , , , ,"[33.4343, -112.012]","[31.643485714285713, -118.35742857142857]","[29.85267142857143, -124.70285714285714]","[28.061857142857143, -131.04828571428573]","[26.271042857142856, -137.39371428571428]","[24.48022857142857, -143.73914285714287]","[22.689414285714285, -150.08457142857145]","[20.8986, -156.43]", , , , , , , , , , , , , , , , , , , , , , 
26,26,2024-05-17 00:00:00,AA,563,PHX,2024-05-17 15:31:00-07:00,MCO,2024-05-17 22:41:00-04:00,5,15,20,"[33.4343, -112.012]","[28.4294, -81.309]", , , , , , , , , , , , , , , ,"[33.4343, -112.012]","[32.43332, -105.8714]","[31.43234, -99.7308]","[30.43136, -93.5902]","[29.43038, -87.4496]","[28.4294, -81.309]", , , , , , , , , , , , , , , , , , , 
27,27,2024-05-17 00:00:00,AA,753,LAX,2024-05-17 09:35:00-07:00,ATL,2024-05-17 16:56:00-04:00,5,9,14,"[33.9425, -118.408]","[33.6367, -84.4281]", , , , , , , , , ,"[33.9425, -118.408]","[33.88134, -111.61202]","[33.82018, -104.81604]","[33.75902, -98.02006]","[33.69786, -91.22408]","[33.6367, -84.4281]", , , , , , , , , , , , , , , , , , , , , , , , , 
28,28,2024-05-17 00:00:00,AA,764,CLT,2024-05-17 20:48:00-04:00,AUS,2024-05-17 22:47:00-05:00,3,20,23,"[35.214, -80.9431]","[30.1945, -97.6699]", , , , , , , , , , , , , , , , , , , , ,"[35.214, -80.9431]","[33.54083333333333, -86.5187]","[31.86766666666667, -92.0943]","[30.1945, -97.6699]", , , , , , , , , , , , , , , , 
29,29,2024-05-17 00:00:00,AA,803,PHX,2024-05-17 15:37:00-07:00,AUS,2024-05-17 19:56:00-05:00,3,15,18,"[33.4343, -112.012]","[30.1945, -97.6699]", , , , , , , , , , , , , , , ,"[33.4343, -112.012]","[32.354366666666664, -107.2313]","[31.274433333333334, -102.4506]","[30.1945, -97.6699]", , , , , , , , , , , , , , , , , , , , , 
30,30,2024-05-17 00:00:00,AA,935,ORD,2024-05-17 20:44:00-05:00,AUS,2024-05-17 23:42:00-05:00,3,20,23,"[41.9786, -87.9047]","[30.1945, -97.6699]", , , , , , , , , , , , , , , , , , , , ,"[41.9786, -87.9047]","[38.05056666666667, -91.15976666666667]","[34.12253333333334, -94.41483333333333]","[30.1945, -97.6699]", , , , , , , , , , , , , , , , 
31,31,2024-05-17 00:00:00,AA,507,MIA,2024-05-17 21:11:00-04:00,DCA,2024-05-17 23:58:00-04:00,3,21,24,"[25.7932, -80.2906]","[38.8522, -77.0378]", , , , , , , , , , , , , , , , , , , , , ,"[25.7932, -80.2906]","[30.1462, -79.20633333333333]","[34.4992, -78.12206666666667]","[38.8522, -77.0378]", , , , , , , , , , , , , , , 
32,32,2024-05-17 00:00:00,AA,744,IAH,2024-05-17 08:55:00-05:00,CLT,2024-05-17 12:25:00-04:00,3,8,11,"[29.9844, -95.3414]","[35.214, -80.9431]", , , , , , , , ,"[29.9844, -95.3414]","[31.7276, -90.54196666666667]","[33.4708, -85.74253333333333]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,33,2024-05-17 00:00:00,AA,140,BOS,2024-05-17 13:45:00-04:00,BOS,2024-05-17 18:45:00-04:00,6,13,19,"[42.3643, -71.0052]","[42.3643, -71.0052]", , , , , , , , , , , , , ,"[42.3643, -71.0052]","[42.3643, -71.0052]","[42.3643, -71.0052]","[42.3643, -71.0052]","[42.3643, -71.0052]","[42.3643, -71.0052]","[42.3643, -71.0052]", , , , , , , , , , , , , , , , , , , , 
34,34,2024-05-17 00:00:00,AA,641,LAX,2024-05-17 10:25:00-07:00,PHL,2024-05-17 18:34:00-04:00,6,10,16,"[33.9425, -118.408]","[39.8719, -75.2411]", , , , , , , , , , ,"[33.9425, -118.408]","[34.930733333333336, -111.21351666666666]","[35.91896666666667, -104.01903333333334]","[36.9072, -96.82455]","[37.89543333333333, -89.63006666666666]","[38.88366666666666, -82.43558333333334]","[39.8719, -75.2411]", , , , , , , , , , , , , , , , , , , , , , , 
35,35,2024-05-17 00:00:00,AA,746,PHL,2024-05-17 21:00:00-04:00,NCE,2024-05-18 10:55:00+02:00,8,21,29,"[39.8719, -75.2411]","[43.6584, 7.21587]", , , , , , , , , , , , , , , , , , , , , ,"[39.8719, -75.2411]","[40.345212499999995, -64.93397875000001]","[40.818524999999994, -54.6268575]","[41.2918375, -44.319736250000005]","[41.76515, -34.012615000000004]","[42.2384625, -23.705493750000002]","[42.711775, -13.398372500000008]","[43.1850875, -3.091251249999999]","[43.6584, 7.215869999999995]", , , , , , , , , , 
36,36,2024-05-17 00:00:00,AA,844,AUS,2024-05-17 15:27:00-05:00,PHX,2024-05-17 15:59:00-07:00,3,15,18,"[30.1945, -97.6699]","[33.4343, -112.012]", , , , , , , , , , , , , , , ,"[30.1945, -97.6699]","[31.274433333333334, -102.4506]","[32.354366666666664, -107.2313]","[33.4343, -112.012]", , , , , , , , , , , , , , , , , , , , , 
37,37,2024-05-17 00:00:00,AA,337,PHX,2024-05-17 10:25:00-07:00,PHX,2024-05-17 14:25:00-07:00,5,10,15,"[33.4343, -112.012]","[33.4343, -112.012]", , , , , , , , , , ,"[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]","[33.4343, -112.012]", , , , , , , , , , , , , , , , , , , , , , , , 
38,38,2024-05-17 00:00:00,AA,4,LAX,2024-05-17 11:30:00-07:00,JFK,2024-05-17 20:02:00-04:00,6,11,17,"[33.9425, -118.408]","[40.6397, -73.7789]", , , , , , , , , , , ,"[33.9425, -118.408]","[35.0587, -110.96981666666667]","[36.1749, -103.53163333333333]","[37.2911, -96.09344999999999]","[38.4073, -88.65526666666666]","[39.5235, -81.21708333333333]","[40.6397, -73.7789]", , , , , , , , , , , , , , , , , , , , , , 
39,39,2024-05-17 00:00:00,AA,259,LIS,2024-05-17 11:05:00+01:00,PHL,2024-05-17 13:45:00-04:00,8,11,19,"[38.7813, -9.13592]","[39.8719, -75.2411]", , , , , , , , , , , ,"[38.7813, -9.13592]","[38.917625, -17.3990675]","[39.05395, -25.662215000000003]","[39.190275, -33.9253625]","[39.3266, -42.18851]","[39.462925, -50.4516575]","[39.59925, -58.714805]","[39.735575, -66.9779525]","[39.8719, -75.2411]", , , , , , , , , , , , , , , , , , , , 
40,40,2024-05-17 00:00:00,AA,276,SFO,2024-05-17 22:10:00-07:00,JFK,2024-05-18 07:00:00-04:00,6,22,28,"[37.619, -122.375]","[40.6397, -73.7789]", , , , , , , , , , , , , , , , , , , , , , ,"[37.619, -122.375]","[38.12245, -114.27565]","[38.6259, -106.1763]","[39.12935, -98.07695]","[39.632799999999996, -89.9776]","[40.13625, -81.87825]","[40.6397, -73.7789]", , , , , , , , , , , 
41,41,2024-05-17 00:00:00,AA,962,GRU,2024-05-17 22:20:00-03:00,DFW,2024-05-18 06:50:00-05:00,11,22,33,"[37.619, -122.375]","[32.8968, -97.038]", , , , , , , , , , , , , , , , , , , , , , ,"[37.619, -122.375]","[37.18970909090909, -120.07163636363636]","[36.76041818181818, -117.76827272727273]","[36.33112727272727, -115.46490909090909]","[35.90183636363636, -113.16154545454546]","[35.472545454545454, -110.85818181818182]","[35.043254545454545, -108.55481818181818]","[34.613963636363636, -106.25145454545455]","[34.184672727272726, -103.94809090909091]","[33.75538181818182, -101.64472727272727]","[33.32609090909091, -99.34136363636364]","[32.8968, -97.038]", , , , , , 
42,42,2024-05-17 00:00:00,AA,460,CLT,2024-05-17 18:50:00-04:00,BOS,2024-05-17 21:00:00-04:00,3,18,21,"[35.214, -80.9431]","[42.3643, -71.0052]", , , , , , , , , , , , , , , , , , ,"[35.214, -80.9431]","[37.597433333333335, -77.63046666666666]","[39.980866666666664, -74.31783333333334]","[42.3643, -71.0052]", , , , , , , , , , , , , , , , , , 
43,43,2024-05-17 00:00:00,AA,372,CLT,2024-05-17 15:12:00-04:00,DCA,2024-05-17 16:29:00-04:00,2,15,17,"[35.214, -80.9431]","[38.8522, -77.0378]", , , , , , , , , , , , , , , ,"[35.214, -80.9431]","[37.033100000000005, -78.99045000000001]","[38.8522, -77.0378]", , , , , , , , , , , , , , , , , , , , , , 
44,44,2024-05-17 00:00:00,AA,620,CLT,2024-05-17 07:20:00-04:00,CLT,2024-05-17 10:41:00-04:00,4,7,11,"[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , ,"[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,45,2024-05-17 00:00:00,AA,466,DCA,2024-05-17 12:27:00-04:00,CLT,2024-05-17 13:52:00-04:00,2,12,14,"[38.8522, -77.0378]","[35.214, -80.9431]", , , , , , , , , , , , ,"[38.8522, -77.0378]","[37.033100000000005, -78.99045000000001]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , 
46,46,2024-05-17 00:00:00,AA,491,MKE,2024-05-17 07:00:00-05:00,CLT,2024-05-17 10:07:00-04:00,3,7,10,"[42.9472, -87.8966]","[35.214, -80.9431]", , , , , , , ,"[42.9472, -87.8966]","[40.36946666666667, -85.57876666666667]","[37.79173333333333, -83.26093333333334]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,47,2024-05-17 00:00:00,AA,620,CLT,2024-05-17 07:20:00-04:00,CLT,2024-05-17 10:41:00-04:00,4,7,11,"[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , ,"[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]","[35.214, -80.9431]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,48,2024-05-17 00:00:00,AA,943,CLT,2024-05-17 10:15:00-04:00,PHX,2024-05-17 11:37:00-07:00,5,10,15,"[35.214, -80.9431]","[33.4343, -112.012]", , , , , , , , , , ,"[35.214, -80.9431]","[34.85806, -87.15688]","[34.50212, -93.37066]","[34.14618, -99.58444]","[33.79024, -105.79822]","[33.4343, -112.012]", , , , , , , , , , , , , , , , , , , , , , , , 
49,49,2024-05-17 00:00:00,AA,925,LAS,2024-05-17 23:23:00-07:00,MIA,2024-05-18 07:11:00-04:00,5,23,28,"[36.0801, -115.152]","[25.7932, -80.2906]", , , , , , , , , , , , , , , , , , , , , , , ,"[36.0801, -115.152]","[34.02272, -108.17972]","[31.96534, -101.20744]","[29.90796, -94.23516000000001]","[27.85058, -87.26288]","[25.7932, -80.2906]", , , , , , , , , , , 
50,50,2024-05-17 00:00:00,AA,856,DFW,2024-05-17 07:25:00-05:00,PHL,2024-05-17 11:43:00-04:00,4,7,11,"[32.8968, -97.038]","[39.8719, -75.2411]", , , , , , , ,"[32.8968, -97.038]","[34.640575, -91.588775]","[36.38435, -86.13955]","[38.128125, -80.690325]","[39.8719, -75.2411]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,51,2024-05-17 00:00:00,AA,782,AUS,2024-05-17 17:52:00-05:00,BOS,2024-05-17 22:54:00-04:00,5,17,22,"[30.1945, -97.6699]","[42.3643, -71.0052]", , , , , , , , , , , , , , , , , ,"[30.1945, -97.6699]","[32.628460000000004, -92.33696]","[35.06242, -87.00402]","[37.49638, -81.67108]","[39.93034, -76.33814000000001]","[42.3643, -71.0052]", , , , , , , , , , , , , , , , , 
