,date,carrier,number,code_i,hora_i,code_f,hora_f
51,2024-05-17 00:00:00,AA,782,AUS,2024-05-17 17:52:00-05:00,BOS,2024-05-17 22:54:00-04:00
52,2024-05-17 00:00:00,AA,117,JFK,2024-05-17 20:00:00-04:00,LAX,2024-05-17 23:15:00-07:00
53,2024-05-17 00:00:00,AA,609,ORD,2024-05-17 20:38:00-05:00,IND,2024-05-17 22:44:00-04:00
54,2024-05-17 00:00:00,AA,198,JFK,2024-05-17 19:02:00-04:00,MXP,2024-05-18 09:05:00+02:00
55,2024-05-17 00:00:00,AA,626,CLT,2024-05-17 22:33:00-04:00,CVG,2024-05-17 23:51:00-04:00
56,2024-05-17 00:00:00,AA,992,CUN,2024-05-17 12:40:00-05:00,CLT,2024-05-17 16:35:00-04:00
57,2024-05-17 00:00:00,AA,672,DFW,2024-05-17 08:33:00-05:00,DFW,2024-05-17 17:16:00-05:00
58,2024-05-17 00:00:00,AA,46,ORD,2024-05-17 20:30:00-05:00,LHR,2024-05-18 10:20:00+01:00
59,2024-05-17 00:00:00,AA,529,CLT,2024-05-17 07:32:00-04:00,CLT,2024-05-17 10:25:00-04:00
60,2024-05-17 00:00:00,AA,841,FAT,2024-05-17 08:04:00-07:00,DFW,2024-05-17 13:19:00-05:00
61,2024-05-17 00:00:00,AA,441,BGI,2024-05-17 07:00:00-04:00,MIA,2024-05-17 11:00:00-04:00
62,2024-05-17 00:00:00,AA,839,PHL,2024-05-17 18:56:00-04:00,MSP,2024-05-17 21:05:00-05:00
63,2024-05-17 00:00:00,AA,953,JFK,2024-05-17 22:05:00-04:00,EZE,2024-05-18 10:00:00-03:00
64,2024-05-17 00:00:00,AA,87,LHR,2024-05-17 10:05:00+01:00,ORD,2024-05-17 12:45:00-05:00
65,2024-05-17 00:00:00,AA,941,MTY,2024-05-17 05:45:00-06:00,DFW,2024-05-17 08:35:00-05:00
66,2024-05-17 00:00:00,AA,987,MIA,2024-05-17 10:40:00-04:00,MIA,2024-05-17 16:45:00-04:00
67,2024-05-17 00:00:00,AA,980,PDX,2024-05-17 05:10:00-07:00,DFW,2024-05-17 11:00:00-05:00
68,2024-05-17 00:00:00,AA,304,BHM,2024-05-17 05:25:00-05:00,DFW,2024-05-17 07:33:00-05:00
69,2024-05-17 00:00:00,AA,690,BOS,2024-05-17 05:30:00-04:00,SAN,2024-05-17 11:33:00-07:00
70,2024-05-17 00:00:00,AA,598,SAN,2024-05-17 13:32:00-07:00,ORF,2024-05-17 23:46:00-04:00
71,2024-05-17 00:00:00,AA,687,CLT,2024-05-17 05:33:00-04:00,DFW,2024-05-17 07:20:00-05:00
72,2024-05-17 00:00:00,AA,483,MIA,2024-05-17 21:20:00-04:00,ORD,2024-05-17 23:57:00-05:00
73,2024-05-17 00:00:00,AA,806,AUS,2024-05-17 15:20:00-05:00,PHL,2024-05-17 19:50:00-04:00
74,2024-05-17 00:00:00,AA,807,DFW,2024-05-17 19:00:00-05:00,AUS,2024-05-17 20:07:00-05:00
75,2024-05-17 00:00:00,AA,708,CUR,2024-05-17 14:41:00-04:00,MIA,2024-05-17 17:51:00-04:00
76,2024-05-17 00:00:00,AA,902,PHX,2024-05-17 21:55:00-07:00,MIA,2024-05-18 05:17:00-04:00
77,2024-05-17 00:00:00,AA,751,PHX,2024-05-17 15:36:00-07:00,CMH,2024-05-17 22:27:00-04:00
78,2024-05-17 00:00:00,AA,560,ONT,2024-05-17 06:45:00-07:00,PHX,2024-05-17 08:03:00-07:00
79,2024-05-17 00:00:00,AA,375,JAX,2024-05-17 07:15:00-04:00,LAX,2024-05-17 12:14:00-07:00
80,2024-05-17 00:00:00,AA,912,SCL,2024-05-17 21:55:00-04:00,MIA,2024-05-18 06:35:00-04:00
81,2024-05-17 00:00:00,AA,547,LGA,2024-05-17 08:15:00-04:00,DFW,2024-05-17 11:03:00-05:00
82,2024-05-17 00:00:00,AA,285,LAX,2024-05-17 15:03:00-07:00,LIH,2024-05-17 17:59:00-10:00
83,2024-05-17 00:00:00,AA,104,JFK,2024-05-17 22:20:00-04:00,LHR,2024-05-18 10:30:00+01:00
84,2024-05-17 00:00:00,AA,346,ORD,2024-05-17 10:10:00-05:00,BOS,2024-05-17 13:30:00-04:00
85,2024-05-17 00:00:00,AA,312,DFW,2024-05-17 18:55:00-05:00,SJC,2024-05-17 20:36:00-07:00
86,2024-05-17 00:00:00,AA,236,JFK,2024-05-17 16:56:00-04:00,FCO,2024-05-18 07:15:00+02:00
87,2024-05-17 00:00:00,AA,335,CLT,2024-05-17 09:33:00-04:00,CLT,2024-05-17 13:41:00-04:00
88,2024-05-17 00:00:00,AA,664,KOA,2024-05-17 21:45:00-10:00,PHX,2024-05-18 06:30:00-07:00
89,2024-05-17 00:00:00,AA,435,CLT,2024-05-17 11:25:00-04:00,LIR,2024-05-17 13:35:00-06:00
90,2024-05-17 00:00:00,AA,762,PIT,2024-05-17 05:26:00-04:00,DFW,2024-05-17 07:28:00-05:00
91,2024-05-17 00:00:00,AA,575,DFW,2024-05-17 08:13:00-05:00,DFW,2024-05-17 16:35:00-05:00
92,2024-05-17 00:00:00,AA,341,PHL,2024-05-17 08:41:00-04:00,PHL,2024-05-17 14:49:00-04:00
93,2024-05-17 00:00:00,AA,618,MIA,2024-05-17 14:55:00-04:00,BOS,2024-05-17 18:15:00-04:00
94,2024-05-17 00:00:00,AA,257,MIA,2024-05-17 18:45:00-04:00,MEX,2024-05-17 20:15:00-06:00
95,2024-05-17 00:00:00,AA,634,PHX,2024-05-17 20:45:00-07:00,ONT,2024-05-17 22:04:00-07:00
96,2024-05-17 00:00:00,AA,347,MIA,2024-05-17 12:35:00-04:00,RTB,2024-05-17 12:55:00-06:00
97,2024-05-17 00:00:00,AA,418,BOS,2024-05-17 05:30:00-04:00,CLT,2024-05-17 07:52:00-04:00
98,2024-05-17 00:00:00,AA,883,QRO,2024-05-17 05:10:00-06:00,DFW,2024-05-17 08:40:00-05:00
99,2024-05-17 00:00:00,AA,790,CLT,2024-05-17 18:06:00-04:00,JFK,2024-05-17 20:00:00-04:00
100,2024-05-17 00:00:00,AA,968,LGA,2024-05-17 06:15:00-04:00,DCA,2024-05-17 07:34:00-04:00
101,2024-05-17 00:00:00,AA,120,PHL,2024-05-17 20:46:00-04:00,DOH,2024-05-18 16:25:00+03:00
102,2024-05-17 00:00:00,AA,466,DCA,2024-05-17 12:27:00-04:00,CLT,2024-05-17 13:52:00-04:00
103,2024-05-17 00:00:00,AA,437,LAS,2024-05-17 09:45:00-07:00,BOS,2024-05-17 20:50:00-04:00
104,2024-05-17 00:00:00,AA,449,MSP,2024-05-17 14:36:00-05:00,PHX,2024-05-17 16:04:00-07:00
105,2024-05-17 00:00:00,AA,470,PHX,2024-05-17 10:49:00-07:00,PHX,2024-05-17 14:38:00-07:00
106,2024-05-17 00:00:00,AA,373,CLT,2024-05-17 08:57:00-04:00,MIA,2024-05-17 11:00:00-04:00
107,2024-05-17 00:00:00,AA,874,CLT,2024-05-17 07:15:00-04:00,CLT,2024-05-17 16:25:00-04:00
108,2024-05-17 00:00:00,AA,627,IND,2024-05-17 08:23:00-04:00,CLT,2024-05-17 10:05:00-04:00
109,2024-05-17 00:00:00,AA,426,LAX,2024-05-17 13:00:00-07:00,CLT,2024-05-17 20:47:00-04:00
110,2024-05-17 00:00:00,AA,2,LAX,2024-05-17 08:00:00-07:00,JFK,2024-05-17 16:35:00-04:00
111,2024-05-17 00:00:00,AA,143,LAX,2024-05-17 15:25:00-07:00,HNL,2024-05-17 18:13:00-10:00
112,2024-05-17 00:00:00,AA,772,DFW,2024-05-17 19:20:00-05:00,ORF,2024-05-17 23:17:00-04:00
113,2024-05-17 00:00:00,AA,799,AUS,2024-05-17 20:24:00-05:00,LAX,2024-05-17 21:42:00-07:00
114,2024-05-17 00:00:00,DL,317,DEN,2024-05-17 07:10:00-06:00,LGA,2024-05-17 12:55:00-04:00
115,2024-05-17 00:00:00,DL,596,CUN,2024-05-17 08:15:00-05:00,ATL,2024-05-17 11:51:00-04:00
116,2024-05-17 00:00:00,DL,506,LGA,2024-05-17 07:00:00-04:00,ATL,2024-05-17 09:26:00-04:00
117,2024-05-17 00:00:00,DL,369,DTW,2024-05-17 12:35:00-04:00,DTW,2024-05-17 22:59:00-04:00
118,2024-05-17 00:00:00,DL,758,SLC,2024-05-17 10:00:00-06:00,BOS,2024-05-17 16:45:00-04:00
119,2024-05-17 00:00:00,DL,650,JFK,2024-05-17 16:35:00-04:00,SLC,2024-05-17 20:06:00-06:00
120,2024-05-17 00:00:00,DL,573,AUS,2024-05-17 17:55:00-05:00,MSP,2024-05-17 20:40:00-05:00
121,2024-05-17 00:00:00,DL,434,SEA,2024-05-17 11:35:00-07:00,JFK,2024-05-17 20:25:00-04:00
122,2024-05-17 00:00:00,DL,107,FRA,2024-05-17 11:50:00+02:00,JFK,2024-05-17 14:40:00-04:00
123,2024-05-17 00:00:00,DL,712,LAS,2024-05-17 17:43:00-07:00,SLC,2024-05-17 20:09:00-06:00
124,2024-05-17 00:00:00,DL,722,MSP,2024-05-17 07:00:00-05:00,MSP,2024-05-17 13:32:00-05:00
125,2024-05-17 00:00:00,DL,4,LHR,2024-05-17 17:50:00+01:00,JFK,2024-05-17 21:05:00-04:00
126,2024-05-17 00:00:00,DL,559,PDX,2024-05-17 06:15:00-07:00,MSP,2024-05-17 11:36:00-05:00
127,2024-05-17 00:00:00,DL,510,ATL,2024-05-17 19:30:00-04:00,LGA,2024-05-17 21:49:00-04:00
128,2024-05-17 00:00:00,DL,576,MEX,2024-05-17 11:40:00-06:00,ATL,2024-05-17 17:10:00-04:00
129,2024-05-17 00:00:00,DL,85,CDG,2024-05-17 15:40:00+02:00,ATL,2024-05-17 19:25:00-04:00
130,2024-05-17 00:00:00,DL,724,ATL,2024-05-17 08:10:00-04:00,BOS,2024-05-17 10:48:00-04:00
131,2024-05-17 00:00:00,DL,381,TPA,2024-05-17 09:00:00-04:00,SEA,2024-05-17 12:04:00-07:00
132,2024-05-17 00:00:00,DL,585,ATL,2024-05-17 16:35:00-04:00,MEX,2024-05-17 18:30:00-06:00
133,2024-05-17 00:00:00,DL,841,SLC,2024-05-17 11:10:00-06:00,ATL,2024-05-17 16:55:00-04:00
134,2024-05-17 00:00:00,DL,448,OGG,2024-05-17 21:55:00-10:00,LAX,2024-05-18 06:17:00-07:00
135,2024-05-17 00:00:00,DL,697,SLC,2024-05-17 17:45:00-06:00,DEN,2024-05-17 19:16:00-06:00
136,2024-05-17 00:00:00,DL,527,PHX,2024-05-17 22:39:00-07:00,JFK,2024-05-18 06:26:00-04:00
137,2024-05-17 00:00:00,DL,338,AUS,2024-05-17 06:00:00-05:00,SEA,2024-05-17 08:31:00-07:00
138,2024-05-17 00:00:00,DL,740,DFW,2024-05-17 05:10:00-05:00,SLC,2024-05-17 07:01:00-06:00
139,2024-05-17 00:00:00,DL,317,DEN,2024-05-17 07:10:00-06:00,LGA,2024-05-17 12:55:00-04:00
140,2024-05-17 00:00:00,DL,359,JFK,2024-05-17 13:20:00-04:00,ATL,2024-05-17 15:42:00-04:00
141,2024-05-17 00:00:00,DL,265,CDG,2024-05-17 14:40:00+02:00,JFK,2024-05-17 17:10:00-04:00
142,2024-05-17 00:00:00,DL,674,LAX,2024-05-17 07:00:00-07:00,SEA,2024-05-17 09:56:00-07:00
143,2024-05-17 00:00:00,DL,838,LGA,2024-05-17 20:30:00-04:00,ATL,2024-05-17 23:03:00-04:00
144,2024-05-17 00:00:00,DL,729,ATL,2024-05-17 07:05:00-04:00,ATL,2024-05-17 11:53:00-04:00
145,2024-05-17 00:00:00,DL,576,MEX,2024-05-17 11:40:00-06:00,ATL,2024-05-17 17:10:00-04:00
146,2024-05-17 00:00:00,DL,878,LAX,2024-05-17 15:25:00-07:00,BOS,2024-05-17 23:58:00-04:00
147,2024-05-17 00:00:00,DL,629,BOS,2024-05-17 19:50:00-04:00,MCO,2024-05-17 22:58:00-04:00
148,2024-05-17 00:00:00,DL,786,ATL,2024-05-17 08:30:00-04:00,ATL,2024-05-17 19:36:00-04:00
149,2024-05-17 00:00:00,DL,514,CVG,2024-05-17 19:30:00-04:00,SLC,2024-05-17 21:22:00-06:00
150,2024-05-17 00:00:00,DL,2,LHR,2024-05-17 10:50:00+01:00,JFK,2024-05-17 13:55:00-04:00
151,2024-05-17 00:00:00,DL,131,MUC,2024-05-17 10:25:00+02:00,ATL,2024-05-17 14:50:00-04:00
152,2024-05-17 00:00:00,DL,692,LAX,2024-05-17 18:59:00-07:00,AUS,2024-05-17 23:53:00-05:00
153,2024-05-17 00:00:00,DL,334,BNA,2024-05-17 12:03:00-05:00,DTW,2024-05-17 14:44:00-04:00
154,2024-05-17 00:00:00,DL,693,SEA,2024-05-17 15:50:00-07:00,HNL,2024-05-17 19:14:00-10:00
155,2024-05-17 00:00:00,DL,115,DUB,2024-05-17 12:00:00+01:00,MSP,2024-05-17 14:35:00-05:00
156,2024-05-17 00:00:00,DL,862,ORD,2024-05-17 06:10:00-05:00,SEA,2024-05-17 08:37:00-07:00
157,2024-05-17 00:00:00,DL,655,JFK,2024-05-17 15:15:00-04:00,DEN,2024-05-17 17:57:00-06:00
158,2024-05-17 00:00:00,DL,944,DTW,2024-05-17 16:15:00-04:00,SEA,2024-05-17 18:02:00-07:00
159,2024-05-17 00:00:00,DL,204,JFK,2024-05-17 17:45:00-04:00,ARN,2024-05-18 08:00:00+02:00
160,2024-05-17 00:00:00,DL,194,ATL,2024-05-17 18:30:00-04:00,BCN,2024-05-18 09:10:00+02:00
161,2024-05-17 00:00:00,DL,670,LAX,2024-05-17 14:20:00-07:00,JFK,2024-05-17 22:51:00-04:00
162,2024-05-17 00:00:00,DL,522,HNL,2024-05-17 13:08:00-10:00,SEA,2024-05-17 21:59:00-07:00
163,2024-05-17 00:00:00,DL,337,SLC,2024-05-17 13:45:00-06:00,ATL,2024-05-17 19:31:00-04:00
164,2024-05-17 00:00:00,DL,947,ATL,2024-05-17 16:49:00-04:00,SAN,2024-05-17 18:27:00-07:00
165,2024-05-17 00:00:00,DL,786,ATL,2024-05-17 08:30:00-04:00,ATL,2024-05-17 19:36:00-04:00
166,2024-05-17 00:00:00,DL,32,DFW,2024-05-17 16:08:00-05:00,LHR,2024-05-18 11:10:00+01:00
167,2024-05-17 00:00:00,DL,509,DTW,2024-05-17 21:59:00-04:00,LAS,2024-05-17 23:23:00-07:00
168,2024-05-17 00:00:00,DL,382,SEA,2024-05-17 10:25:00-07:00,CVG,2024-05-17 17:56:00-04:00
169,2024-05-17 00:00:00,DL,971,LAX,2024-05-17 22:40:00-07:00,LAS,2024-05-17 23:55:00-07:00
170,2024-05-17 00:00:00,DL,495,HNL,2024-05-17 12:00:00-10:00,LAX,2024-05-17 20:28:00-07:00
171,2024-05-17 00:00:00,DL,908,DTW,2024-05-17 16:05:00-04:00,LAX,2024-05-17 18:00:00-07:00
172,2024-05-17 00:00:00,DL,419,JFK,2024-05-17 19:15:00-04:00,SFO,2024-05-17 22:59:00-07:00
173,2024-05-17 00:00:00,DL,566,SMF,2024-05-17 22:40:00-07:00,ATL,2024-05-18 06:07:00-04:00
174,2024-05-17 00:00:00,DL,858,LGA,2024-05-17 10:55:00-04:00,LGA,2024-05-17 19:34:00-04:00
175,2024-05-17 00:00:00,DL,473,LAX,2024-05-17 07:00:00-07:00,LAX,2024-05-17 17:25:00-07:00
176,2024-05-17 00:00:00,DL,921,ATL,2024-05-17 13:44:00-04:00,DFW,2024-05-17 15:00:00-05:00
177,2024-05-17 00:00:00,DL,479,BOS,2024-05-17 06:35:00-04:00,LAX,2024-05-17 09:58:00-07:00
178,2024-05-17 00:00:00,DL,992,SEA,2024-05-17 06:05:00-07:00,LAS,2024-05-17 08:35:00-07:00
179,2024-05-17 00:00:00,DL,440,HNL,2024-05-17 21:45:00-10:00,SEA,2024-05-18 06:45:00-07:00
180,2024-05-17 00:00:00,DL,566,SMF,2024-05-17 22:40:00-07:00,ATL,2024-05-18 06:07:00-04:00
181,2024-05-17 00:00:00,DL,24,ATL,2024-05-17 20:50:00-04:00,NCE,2024-05-18 12:00:00+02:00
182,2024-05-17 00:00:00,DL,384,BOS,2024-05-17 06:50:00-04:00,SEA,2024-05-17 10:07:00-07:00
183,2024-05-17 00:00:00,DL,187,LHR,2024-05-17 16:50:00+01:00,LAX,2024-05-17 20:30:00-07:00
184,2024-05-17 00:00:00,DL,225,CDG,2024-05-17 11:45:00+02:00,BOS,2024-05-17 13:40:00-04:00
185,2024-05-17 00:00:00,DL,785,LGA,2024-05-17 16:15:00-04:00,LGA,2024-05-17 22:18:00-04:00
186,2024-05-17 00:00:00,DL,759,ATL,2024-05-17 12:55:00-04:00,ATL,2024-05-17 17:55:00-04:00
187,2024-05-17 00:00:00,DL,775,TPA,2024-05-17 07:00:00-04:00,LAX,2024-05-17 09:20:00-07:00
188,2024-05-17 00:00:00,DL,466,ATL,2024-05-17 14:00:00-04:00,ATL,2024-05-17 23:41:00-04:00
189,2024-05-17 00:00:00,DL,463,ATL,2024-05-17 08:55:00-04:00,ATL,2024-05-17 18:50:00-04:00
190,2024-05-17 00:00:00,DL,954,ATL,2024-05-17 11:00:00-04:00,ATL,2024-05-17 21:58:00-04:00
191,2024-05-17 00:00:00,DL,133,AMS,2024-05-17 07:55:00+02:00,DTW,2024-05-17 10:40:00-04:00
192,2024-05-17 00:00:00,DL,815,ATL,2024-05-17 11:15:00-04:00,ATL,2024-05-17 16:50:00-04:00
193,2024-05-17 00:00:00,DL,460,ATL,2024-05-17 21:55:00-04:00,LAS,2024-05-17 23:21:00-07:00
194,2024-05-17 00:00:00,DL,391,LAX,2024-05-17 12:25:00-07:00,DTW,2024-05-17 19:45:00-04:00
195,2024-05-17 00:00:00,DL,728,DTW,2024-05-17 12:25:00-04:00,SEA,2024-05-17 14:15:00-07:00
196,2024-05-17 00:00:00,DL,403,BUF,2024-05-17 05:28:00-04:00,JFK,2024-05-17 07:00:00-04:00
197,2024-05-17 00:00:00,DL,945,ATL,2024-05-17 09:58:00-04:00,ATL,2024-05-17 19:41:00-04:00
198,2024-05-17 00:00:00,DL,936,ATL,2024-05-17 06:00:00-04:00,DTW,2024-05-17 07:54:00-04:00
199,2024-05-17 00:00:00,DL,995,ATL,2024-05-17 09:40:00-04:00,ATL,2024-05-17 16:59:00-04:00
200,2024-05-17 00:00:00,DL,585,ATL,2024-05-17 16:35:00-04:00,MEX,2024-05-17 18:30:00-06:00
201,2024-05-17 00:00:00,DL,175,MXP,2024-05-17 11:30:00+02:00,ATL,2024-05-17 15:50:00-04:00
202,2024-05-17 00:00:00,DL,425,DTW,2024-05-17 21:55:00-04:00,LGA,2024-05-17 23:41:00-04:00
203,2024-05-17 00:00:00,DL,942,ATL,2024-05-17 16:58:00-04:00,SJC,2024-05-17 19:00:00-07:00
204,2024-05-17 00:00:00,DL,771,LGA,2024-05-17 11:00:00-04:00,ATL,2024-05-17 13:26:00-04:00
205,2024-05-17 00:00:00,DL,701,SLC,2024-05-17 10:05:00-06:00,CVG,2024-05-17 15:29:00-04:00
206,2024-05-17 00:00:00,DL,789,ATL,2024-05-17 07:15:00-04:00,ATL,2024-05-17 16:42:00-04:00
207,2024-05-17 00:00:00,DL,472,LAS,2024-05-17 11:25:00-07:00,JFK,2024-05-17 19:52:00-04:00
208,2024-05-17 00:00:00,DL,459,SEA,2024-05-17 23:12:00-07:00,DTW,2024-05-18 06:29:00-04:00
209,2024-05-17 00:00:00,DL,508,JFK,2024-05-17 08:00:00-04:00,JFK,2024-05-17 18:10:00-04:00
210,2024-05-17 00:00:00,DL,845,SEA,2024-05-17 11:45:00-07:00,SEA,2024-05-17 18:46:00-07:00
211,2024-05-17 00:00:00,DL,827,JFK,2024-05-17 07:15:00-04:00,SEA,2024-05-17 10:17:00-07:00
212,2024-05-17 00:00:00,DL,385,BOS,2024-05-17 18:45:00-04:00,ATL,2024-05-17 21:47:00-04:00
213,2024-05-17 00:00:00,DL,555,ATL,2024-05-17 11:30:00-04:00,ATL,2024-05-17 21:23:00-04:00
214,2024-05-17 00:00:00,DL,914,LAX,2024-05-17 13:10:00-07:00,MSP,2024-05-17 18:45:00-05:00
215,2024-05-17 00:00:00,DL,178,PDX,2024-05-17 14:15:00-07:00,AMS,2024-05-18 09:15:00+02:00
216,2024-05-17 00:00:00,DL,17,LHR,2024-05-17 12:10:00+01:00,DTW,2024-05-17 15:40:00-04:00
